© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Pyrimidine Ribonucleotides Interconversion	-0E00		2.44E-02	CMPK1	
RNA Polymerase III Transcription	-0E00		2.44E-02	NFIX	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	2.1105794120443453	2.78E-02	CALM2,CALML5,JUN,KRAS,MAPK1,MAPK8,NFAT5,NFKBIB,PPP3R1,RRAS,RRAS2,SMAD3,TGFBR2	
Replacement of protamines by nucleosomes in the male pronucleus	-0E00		2.38E-02	H2BC9	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	-0E00		3.70E-02	STAT3	
Role of NFAT in Regulation of the Immune Response	-0E00	3.3166247903554	2.00E-02	CALM2,CALML5,CSNK1A1,CSNK1E,GNB1,GNB1L,GNB4,GNG12,GNG5,HLA-B,ITPR2,JUN,KPNA6,KRAS,MAPK1,NFAT5,NFKBIB,PLCB3,PPP3R1,RRAS,RRAS2	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	1.0	3.90E-02	IL18,IL1A,IL1B,IRF3,MAPK1,MAPK8	
Role of p14/p19ARF in Tumor Suppression	-0E00		3.45E-02	NPM3	
SAPK/JNK Signaling	-0E00	1.507556722888818	2.98E-02	DUSP10,DUSP4,GADD45A,GNB1,GNB1L,GNB4,GNG12,GNG5,JUN,KRAS,MAP4K4,MAPK8,RAC2,RRAS,RRAS2	
SIRT1 negatively regulates rRNA expression	-0E00		2.38E-02	H2AC20,H2BC9	
SLAMF Signaling Pathway	-0E00	2.7136021011998728	1.13E-02	CXCL1,FYB1,IL1B,ITCH,JUN,KRAS,MAPK1,MMP1,NFAT5,RRAS,RRAS2	
SUMOylation of intracellular receptors	-0E00		3.45E-02	RXRA	
Sensory perception of taste	-0E00		2.13E-02	GNB1	
Sialic acid metabolism	-0E00		3.03E-02	CMAS	
Signaling by NTRK3 (TRKC)	-0E00		3.33E-02	KRAS	
Sonic Hedgehog Signaling	-0E00		3.23E-02	PRKACB	
Superpathway of Melatonin Degradation	-0E00		3.30E-02	CYP1B1,CYP2S1,EXT2	
Surfactant metabolism	-0E00		3.12E-02	CTSH	
Systemic Lupus Erythematosus Signaling	-0E00		1.31E-02	CBL,HLA-B,IL18,IL1A,IL1B,JUN,KRAS,MAPK1,NFAT5,PRPF38A,RRAS,RRAS2,SNRPA1,SNRPD3	
