	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
NLRP1	0.3854463367794663	0.1267385507563851	0.3334113787055509	0.18411672226050518	0.022197940422037758	0.9411112369310358	0.4033523813238127	0.07142546198579927	conserved
EXD3	-0.02537744539266949	0.9452185824831529	0.14578477071016296	0.6005168440896578	-0.12272776429966378	0.5779884241853702	0.0694416877930252	0.8123119548378941	conserved
NR1D1	0.1947251405706585	0.46667271351504036	0.15670880436012116	0.5617401245538755	0.018055093266222684	0.9491677095047786	0.1976709442269662	0.4018916120430815	conserved
SPPL2B	0.2381625084133178	0.36767950560709295	-0.09667883299569599	0.7437177348395909	0.26785360465815244	0.20500193383878146	0.07453256918106663	0.7970795801851599	conserved
ABCC10	0.1282464072483747	0.6555703734238133	0.13705722881699506	0.6262983019543868	-0.010375551131974397	0.9731079704938917	0.1479324228179744	0.5488052392901004	conserved
ADAMTSL5	0.20697778672837172	0.43657842509241085	-0.07519007842621293	0.808077301323234	0.2119957251288157	0.30416794947838377	0.0705512858081895	0.8082759236769186	conserved
ZNF548	-0.10493030084046118	0.7133385027894477	0.14384991337592198	0.5901219674678834	-0.18462424035549507	0.3522090903494421	0.029495859370630165	0.9169889901882867	conserved
FZD4	-0.03912450008120953	0.9102655890554849	-0.296113383993225	0.24402924635317488	0.18118028263880293	0.39103160529938313	-0.17201235100426707	0.4779164614669504	conserved
SPATA7	-0.17391820441196454	0.5048930492337282	-0.41231232917114174	0.10258018050144861	0.1324830214999661	0.5216053281213481	-0.3003797644680206	0.1786100717297034	conserved
C5orf63	0.08060689505991538	0.7872889542115127	0.023699973940280256	0.9413734606348872	0.03602740442807509	0.89544652003603	0.05734803282861221	0.8424437318866027	conserved
NES	-0.08421484527918097	0.7800085599273163	0.03179659401384169	0.9233923534466492	-0.0812677484391203	0.744052147695644	-0.025957732325930943	0.9305128087274025	conserved
OMA1	-0.09702754026682703	0.737350613051868	9.97010088641788e-05	0.9998020783501651	-0.0635237161182585	0.7941119355168182	-0.0510025613955725	0.8584295818918233	conserved
STRIP2	-0.07058744479213376	0.8112787966854528	-0.043423062227097055	0.8875889547943482	-0.015837120157940004	0.9554500510641	-0.0625378257302562	0.8253938612881079	conserved
TRNA	0.4855991360615753	0.0653586407978566	0.0015944556053114635	0.9959752979568666	0.3712285085194444	0.0985635611463002	0.24529357490209436	0.28516675053979607	conserved
SOCS2	-0.26798268331956143	0.3043871889872669	0.20580448157469852	0.4268742731485105	-0.4828567600545674	0.04860906935120103	-0.011278742296558794	0.9713461011071755	additive
SLC35E4	0.3123467018014342	0.21993577334059525	0.3476157709737334	0.16568974819781795	-0.02127252661244456	0.9400254780600977	0.38263431595358344	0.09614546757514829	conserved
RP11-521B24.3	-0.6851132433354762	0.020208431946921773	-0.04246256288916967	0.8863943148000354	-0.4558023068438662	0.0600120213470429	-0.27788265024150643	0.210753741084293	conserved
EML2	0.167725529882557	0.5335707022703198	-0.053680968307404806	0.863751198952695	0.15692827135398973	0.4443454108698805	0.06213978150596261	0.8292091093242332	conserved
ZNF438	0.041215849554070164	0.9031021265293372	0.06856696407173243	0.8244079022984346	-0.020300201451883833	0.9446985956677882	0.06157002243614748	0.8316133231592842	conserved
MFSD12	0.2658946129893411	0.30632412322098906	0.06342593322741966	0.8373344487426957	0.12738241436560024	0.5508034649885327	0.18014373301416844	0.45254474892268837	conserved
WNT5B	0.15832090005617525	0.5692768830607919	0.2707030621874522	0.28456393560791515	-0.07487918337758365	0.7646487824535034	0.23651929676115835	0.3012883793204477	conserved
LOC101060179	0.11172169694559454	0.6948983722521077	0.3545107269374847	0.1541579202433286	-0.1494906155093525	0.45542511680990133	0.26007563266384703	0.2551383491839305	conserved
FAM69A	-0.7272948715890787	0.012714820544928687	-0.5128574751603274	0.05239204404171876	-0.06313962336136364	0.8047963203227452	-0.6672206105818532	0.010401882244278921	fusion-altered
BCAS3	-0.16164099450987096	0.5544568632243618	-0.27334765319520904	0.2807816448276639	0.07055519231705196	0.7713947883689443	-0.23350945147996408	0.31224224665356454	conserved
TSC2	0.040276127059717996	0.9028584971688673	-0.4035740218984588	0.1115149709214274	0.37231043954786264	0.09837813134580894	-0.16084597326385328	0.499707235928941	conserved
GAS6-AS2	0.041483053602638924	0.8994721831126719	0.18951511179444155	0.45699828846567064	-0.09977945096704191	0.6361209046579261	0.13061970431031478	0.5976357172054468	conserved
WIPF1	-0.1713679646508128	0.534398068697366	-0.29704681591534793	0.23932875343288088	0.08170823929863474	0.7412143197657676	-0.2501286400157381	0.27579465357974964	conserved
ATRNL1	0.1998539011678898	0.46020422761273677	0.28030782460933445	0.2693321398234207	-0.05265362819600937	0.8420685830912384	0.26581423589232295	0.24359047706131065	conserved
DGKQ	-0.428460245739381	0.09504293104999516	-0.10299012585942106	0.721283338439618	-0.19833313379030418	0.3404941415803731	-0.264844221317883	0.24962926267724023	conserved
HDAC11	-0.002003082916946843	0.9959772429695345	0.11273874315228628	0.6975507773688695	-0.08096921923649089	0.7369152838315856	0.06336492738133873	0.8287047594792241	conserved
FLJ20021	-0.7030386154055692	0.0125750737223905	-0.02607931000314104	0.9355681533257719	-0.5497426112576917	0.03157098993991603	-0.2948598430666352	0.1962199412874828	additive
C7orf13	-0.3637037213041293	0.14799785678485222	0.2765067831476444	0.2775162591116606	-0.8342501183596557	0.005597674428334926	-0.01567667891581603	0.9597360430789452	additive
C7orf25	-0.23807214048506403	0.3617278704521841	-0.28274635081015004	0.26371084102811276	0.028910236006162576	0.9196697103010804	-0.28262012406362225	0.2151555657618794	conserved
RNF146	-0.3279329150425621	0.19943949645401193	-0.21560624099304096	0.40416297046513744	-0.05692779992973952	0.8244261554956313	-0.29179194329903385	0.20135566364468407	conserved
HIST1H2AM	0.02562378641382079	0.9426472637126881	0.09347380001031792	0.7437177348395909	-0.046638835586904896	0.8490821880562446	0.06777520773270447	0.8118476758306249	conserved
TMED4	0.012297536558931977	0.975808834911978	-0.1199551078472708	0.674810853162444	0.09246776376712464	0.6858662518872988	-0.05897765121201743	0.8375704877287169	conserved
SMIM8	-0.06145661133841613	0.8419347857919887	0.054093630460968815	0.8600767441174979	-0.07820540083544827	0.7300718858088611	-0.001122710554221886	0.997235813854649	conserved
ZIC2	0.41606323029859754	0.10367799012174853	0.2504727625019893	0.32631286424565253	0.08062117802071254	0.7348538471506171	0.37419108961081166	0.09974845270305882	conserved
