image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.a.2.tif,27,a,2,94,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.a.3.tif,27,a,3,20,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.a.4.tif,27,a,4,24,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.b.1.tif,27,b,1,,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.c.1.tif,27,c,1,89,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.c.2.tif,27,c,2,86,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.c.3.tif,27,c,3,83,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_27cell.c.4.tif,27,c,4,86,,1806_27,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.a.1.tif,28,a,1,99,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.a.2.tif,28,a,2,79,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.a.3.tif,28,a,3,82,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.b.1.tif,28,b,1,40,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.b.2.tif,28,b,2,48,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.b.3.tif,28,b,3,,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.b.4.tif,28,b,4,90,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.c.1.tif,28,c,1,94,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_28cell.c.3.tif,28,c,3,89,,1806_28,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.a.1.tif,29,a,1,20,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.a.2.tif,29,a,2,49,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.a.3.tif,29,a,3,54,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.b.1.tif,29,b,1,19,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.b.2.tif,29,b,2,49,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.c.1.tif,29,c,1,,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.c.2.tif,29,c,2,44,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.c.3.tif,29,c,3,,,1806_29,0,,,,,,,,,,,,,,,,,,,,
02_8_22_29cell.c.4.tif,29,c,4,47,,1806_29,0,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_a.1.jpg,1,a,1,98,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_a.2.jpg,1,a,2,89,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_a.3,1,a,3,90,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_a.4,1,a,4,95,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_b.1,1,b,1,85,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_b.2,1,b,2,88,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_b.3,1,b,3,90,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_30_22_01cell_b.4,1,b,4,92,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_31_22_01cell_c.1,1,c,1,83,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_31_22_01cell_c.2,1,c,2,107,,1806_01,5,,,,,,,,,,,,,,,,,,,,
